Journey_ID,Date,Time,Hour,Day_Name,Month,Month_Number,Season,ISO_Week,Origin_Area,Destination_Area,Origin_Station,Destination_Station,Route_ID,Transport_Mode,Passenger_Count,Delay_Minutes,Scheduled_Trips,Completed_Trips,Service_Frequency_Min,Distance_Km,Average_Speed_Kmh,Capacity,Occupancy_Rate,Service_Reliability_Pct,Satisfaction_Score,CO2_Baseline_Car_kg,CO2_Actual_kg,CO2_Reduction_kg,On_Time_Status,Peak_Period,Weather,Incident_Type,Accessibility_Score
J000011,2025-02-07,05:55,5,Friday,February,2,Winter,6,Central,North,Old Town,University,S1,Shared Shuttle,9,9.9,5,5,13,16.3,35.8,11,0.8182,82.18,3.8,25.09,7.67,17.42,Delayed,Off-Peak,Snow,,71
J000012,2025-10-11,08:20,8,Saturday,October,10,Autumn,41,South,North,Greenfield,Riverside North,T3,Tram,120,1.0,9,9,7,18.7,31.3,156,0.7692,98.2,4.8,383.72,78.54,305.18,On Time,Peak,Clear,,87
J000013,2025-10-07,06:30,6,Tuesday,October,10,Autumn,41,East,North,East Gate,Tech Campus,T1,Tram,123,2.1,10,10,6,19.1,31.7,260,0.4731,96.22,4.8,401.73,82.23,319.5,On Time,Off-Peak,Clear,,91
J000014,2025-01-13,08:30,8,Monday,January,1,Winter,3,North,South,University,South Market,R2,Commuter Rail,616,10.1,3,3,19,19.4,45.6,690,0.8928,81.82,4.1,2043.52,382.41,1661.11,Delayed,Peak,Clear,,88
J000015,2025-06-19,21:05,21,Thursday,June,6,Summer,25,North,South,North Park,South Market,C3,Bike Share,22,0.0,12,12,5,3.4,15.4,25,0.88,100.0,4.6,12.79,0.0,12.79,On Time,Off-Peak,Cloudy,,53
J000016,2025-12-07,20:55,20,Sunday,December,12,Winter,49,South,West,Industrial South,Expo Centre,M1,Metro,114,4.7,10,10,6,15.1,42.5,565,0.2018,91.54,4.3,294.36,48.2,246.16,On Time,Off-Peak,Clear,,89
J000017,2025-12-12,09:45,9,Friday,December,12,Winter,50,North,Central,Tech Campus,Old Town,R3,Commuter Rail,404,6.8,3,3,21,53.2,59.8,570,0.7088,87.76,4.0,3675.27,687.77,2987.5,Delayed,Peak,Clear,,90
J000018,2025-12-19,05:05,5,Friday,December,12,Winter,51,North,East,North Park,Harbour East,R1,Commuter Rail,160,2.3,2,2,26,22.5,67.3,518,0.3089,95.86,4.5,615.6,115.2,500.4,On Time,Off-Peak,Snow,,84
J000019,2025-05-07,19:20,19,Wednesday,May,5,Spring,19,East,North,Innovation Hub,Riverside North,R3,Commuter Rail,349,7.9,3,3,22,28.6,57.6,589,0.5925,85.78,4.4,1706.82,319.4,1387.41,Delayed,Peak,Clear,,89
J000020,2025-12-23,05:55,5,Tuesday,December,12,Winter,52,South,West,Industrial South,Hilltop,M1,Metro,212,2.3,10,10,6,25.6,46.5,808,0.2624,95.86,4.6,928.05,151.96,776.09,On Time,Off-Peak,Cloudy,,92
J000021,2025-01-14,07:40,7,Tuesday,January,1,Winter,3,North,Central,Tech Campus,City Hall,B04,Bus,79,4.9,3,3,18,13.6,29.5,65,1.2154,91.18,3.6,183.72,91.32,92.4,On Time,Peak,Clear,,76
J000022,2025-05-07,09:00,9,Wednesday,May,5,Spring,19,North,East,North Park,Harbour East,T1,Tram,131,0.6,8,8,8,9.6,31.3,197,0.665,98.92,4.4,215.05,44.02,171.03,On Time,Peak,Cloudy,,94
J000023,2025-12-20,19:15,19,Saturday,December,12,Winter,51,West,Central,West End,Old Town,B03,Bus,54,5.8,4,4,14,17.6,25.8,57,0.9474,89.56,4.3,162.52,80.78,81.73,Delayed,Peak,Cloudy,,84
J000024,2025-09-05,13:55,13,Friday,September,9,Autumn,36,Central,South,City Hall,Stadium,B02,Bus,69,7.8,5,5,12,15.8,20.3,76,0.9079,85.96,3.9,186.42,92.67,93.76,Delayed,Interpeak,Rain,,82
J000025,2025-09-08,15:15,15,Monday,September,9,Autumn,37,East,West,East Gate,West End,T3,Tram,152,1.2,6,6,10,11.7,23.8,181,0.8398,97.84,4.8,304.11,62.24,241.86,On Time,Interpeak,Clear,,97
J000026,2025-12-20,08:15,8,Saturday,December,12,Winter,51,West,South,West End,Stadium,R2,Commuter Rail,425,26.3,5,5,12,31.4,50.4,604,0.7036,52.66,2.3,2282.0,427.04,1854.96,Delayed,Peak,Clear,Vehicle Issue,87
J000027,2025-02-28,18:40,18,Friday,February,2,Winter,9,North,West,Tech Campus,West End,M1,Metro,384,0.6,7,7,9,10.8,43.8,891,0.431,98.92,5.0,709.17,116.12,593.05,On Time,Peak,Heatwave,,85
J000028,2025-11-17,09:05,9,Monday,November,11,Autumn,47,West,Central,Airport,Central Square,B02,Bus,62,6.4,6,6,10,18.1,19.4,70,0.8857,88.48,4.0,191.9,95.39,96.51,Delayed,Peak,Clear,,78
J000029,2025-05-17,18:05,18,Saturday,May,5,Spring,20,West,South,Hilltop,South Market,B03,Bus,52,19.6,6,6,10,10.8,25.6,67,0.7761,64.72,2.8,96.03,47.74,48.3,Delayed,Peak,Cloudy,Vehicle Issue,76
J000030,2025-03-31,14:45,14,Monday,March,3,Spring,14,West,East,Hilltop,East Gate,C2,Bike Share,23,1.6,9,9,7,3.9,16.2,25,0.92,97.12,4.8,15.34,0.0,15.34,On Time,Interpeak,Cloudy,,52
J000031,2025-12-03,19:45,19,Wednesday,December,12,Winter,49,West,South,Hilltop,Industrial South,M2,Metro,767,12.5,12,12,5,12.9,37.9,781,0.9821,77.5,3.0,1691.93,277.04,1414.88,Delayed,Peak,Rain,Weather Disruption,84
J000032,2025-09-13,20:20,20,Saturday,September,9,Autumn,37,East,West,Lakeview,Airport,M3,Metro,262,0.9,12,12,5,11.5,39.8,597,0.4389,98.38,4.4,515.22,84.36,430.86,On Time,Off-Peak,Cloudy,,90
J000033,2025-09-05,11:50,11,Friday,September,9,Autumn,36,East,South,Harbour East,Stadium,R2,Commuter Rail,309,6.3,5,5,13,26.6,55.0,660,0.4682,88.66,4.0,1405.52,263.02,1142.5,Delayed,Interpeak,Cloudy,,87
J000034,2025-02-21,15:45,15,Friday,February,2,Winter,8,East,North,East Gate,Riverside North,B02,Bus,67,6.2,4,4,17,10.0,20.8,74,0.9054,88.84,4.3,114.57,56.95,57.62,Delayed,Interpeak,Rain,,80
J000035,2025-04-27,18:40,18,Sunday,April,4,Spring,17,Central,East,Museum District,Innovation Hub,S3,Shared Shuttle,6,10.3,5,5,12,4.6,23.4,8,0.75,81.46,4.1,4.72,1.44,3.28,Delayed,Peak,Heavy Rain,,77
J000036,2025-05-11,17:45,17,Sunday,May,5,Spring,19,Central,East,Old Town,Innovation Hub,C2,Bike Share,21,0.0,12,12,5,4.0,12.2,23,0.913,100.0,4.7,14.36,0.0,14.36,On Time,Peak,Cloudy,,62
J000037,2025-01-26,20:45,20,Sunday,January,1,Winter,4,North,South,University,Stadium,C3,Bike Share,14,2.6,9,9,7,5.7,16.3,19,0.7368,95.32,4.8,13.65,0.0,13.65,On Time,Off-Peak,Cloudy,,57
J000038,2025-09-29,14:20,14,Monday,September,9,Autumn,40,East,South,Innovation Hub,South Market,R2,Commuter Rail,479,3.2,2,2,24,20.8,73.2,565,0.8478,94.24,4.2,1703.71,318.82,1384.88,On Time,Interpeak,Cloudy,,83
J000039,2025-08-30,06:50,6,Saturday,August,8,Summer,35,Central,East,Old Town,Lakeview,M2,Metro,247,2.2,9,9,7,9.1,46.2,519,0.4759,96.04,4.7,384.36,62.94,321.42,On Time,Off-Peak,Clear,,89
J000040,2025-11-12,12:20,12,Wednesday,November,11,Autumn,46,North,East,Riverside North,Harbour East,B03,Bus,44,5.8,5,5,11,6.9,18.3,76,0.5789,89.56,4.5,51.92,25.81,26.11,Delayed,Interpeak,Heavy Rain,,79
J000041,2025-03-06,18:15,18,Thursday,March,3,Spring,10,North,West,University,Expo Centre,B05,Bus,92,13.8,10,10,6,20.0,14.1,74,1.2432,75.16,3.0,314.64,156.4,158.24,Delayed,Peak,Rain,,82
J000042,2025-09-27,08:05,8,Saturday,September,9,Autumn,39,West,Central,Hilltop,Museum District,M3,Metro,247,7.4,9,9,7,9.0,33.1,837,0.2951,86.68,4.0,380.13,62.24,317.89,Delayed,Peak,Snow,,92
J000043,2025-10-27,15:30,15,Monday,October,10,Autumn,44,East,West,East Gate,West End,M3,Metro,251,5.6,10,10,6,23.6,39.6,893,0.2811,89.92,4.0,1012.94,165.86,847.07,Delayed,Interpeak,Heavy Rain,,83
J000044,2025-02-17,13:30,13,Monday,February,2,Winter,8,Central,South,Central Square,Industrial South,R3,Commuter Rail,329,3.4,5,5,13,42.6,62.2,666,0.494,93.88,4.7,2396.63,448.49,1948.14,On Time,Interpeak,Clear,,88
J000045,2025-11-15,16:50,16,Saturday,November,11,Autumn,46,South,Central,Stadium,Old Town,B06,Bus,67,7.8,5,5,11,10.9,22.4,65,1.0308,85.96,4.1,124.88,62.08,62.81,Delayed,Peak,Rain,,88
J000046,2025-10-18,16:00,16,Saturday,October,10,Autumn,42,Central,West,Old Town,Hilltop,B05,Bus,55,9.7,5,5,12,14.2,18.1,69,0.7971,82.54,3.9,133.55,66.39,67.17,Delayed,Peak,Cloudy,,79
J000047,2025-03-12,18:20,18,Wednesday,March,3,Spring,11,East,West,Harbour East,Airport,M1,Metro,582,15.2,8,7,8,24.9,32.7,756,0.7698,65.64,3.4,2478.1,405.77,2072.33,Delayed,Peak,Clear,Weather Disruption,93
J000048,2025-07-05,07:05,7,Saturday,July,7,Summer,27,East,Central,Lakeview,Old Town,B05,Bus,80,14.2,8,8,8,9.2,17.3,79,1.0127,74.44,2.9,125.86,62.56,63.3,Delayed,Peak,Rain,Roadworks,88
J000049,2025-11-18,14:55,14,Tuesday,November,11,Autumn,47,West,South,Expo Centre,Stadium,R2,Commuter Rail,374,18.4,3,3,21,35.4,47.3,773,0.4838,66.88,3.4,2263.97,423.67,1840.3,Delayed,Interpeak,Cloudy,Signal Failure,91
J000050,2025-01-22,13:55,13,Wednesday,January,1,Winter,4,West,East,Airport,East Gate,T2,Tram,176,14.0,5,5,11,17.4,20.6,257,0.6848,74.8,3.5,523.67,107.18,416.49,Delayed,Interpeak,Cloudy,Staff Shortage,90
J000051,2025-02-03,10:50,10,Monday,February,2,Winter,6,South,North,Greenfield,North Park,T2,Tram,183,2.3,6,6,10,8.0,28.9,194,0.9433,95.86,4.6,250.34,51.24,199.1,On Time,Interpeak,Cloudy,,93
J000052,2025-02-17,16:40,16,Monday,February,2,Winter,8,South,West,Stadium,Airport,M1,Metro,536,3.0,10,10,6,26.4,41.6,598,0.8963,94.6,4.2,2419.72,396.21,2023.51,On Time,Peak,Clear,,84
J000053,2025-12-21,18:10,18,Sunday,December,12,Winter,51,East,South,Harbour East,Industrial South,R1,Commuter Rail,341,5.0,3,3,19,45.8,60.8,679,0.5022,91.0,4.7,2670.64,499.77,2170.87,On Time,Peak,Cloudy,,83
J000054,2025-11-06,08:20,8,Thursday,November,11,Autumn,45,South,Central,South Market,Old Town,B04,Bus,84,8.0,4,4,14,8.0,22.5,69,1.2174,85.6,3.4,114.91,57.12,57.79,Delayed,Peak,Clear,,77
J000055,2025-11-29,10:10,10,Saturday,November,11,Autumn,48,East,North,Lakeview,Riverside North,B03,Bus,67,5.7,6,6,10,22.2,18.8,55,1.2182,89.74,4.1,254.35,126.43,127.92,Delayed,Interpeak,Cloudy,,83
J000056,2025-11-02,15:50,15,Sunday,November,11,Autumn,44,North,South,Riverside North,South Market,T3,Tram,133,26.1,8,8,8,9.4,16.7,203,0.6552,53.02,2.7,213.78,43.76,170.03,Delayed,Interpeak,Cloudy,Signal Failure,90
J000057,2025-05-04,17:05,17,Sunday,May,5,Spring,18,South,North,South Market,Tech Campus,R3,Commuter Rail,404,5.1,2,2,26,48.1,54.3,539,0.7495,90.82,4.3,3322.94,621.84,2701.1,Delayed,Peak,Cloudy,,88
J000058,2025-08-31,09:15,9,Sunday,August,8,Summer,35,South,West,South Market,Expo Centre,M1,Metro,419,4.2,7,7,9,17.6,36.7,725,0.5779,92.44,4.1,1261.02,206.48,1054.54,On Time,Peak,Cloudy,,87
J000059,2025-12-05,10:45,10,Friday,December,12,Winter,49,North,East,Tech Campus,Lakeview,T2,Tram,190,3.0,4,4,15,18.2,27.3,195,0.9744,94.6,4.5,591.32,121.03,470.29,On Time,Interpeak,Clear,,85
J000060,2025-03-06,07:30,7,Thursday,March,3,Spring,10,West,North,Hilltop,Tech Campus,M1,Metro,432,2.6,12,12,5,26.3,39.1,793,0.5448,95.32,4.9,1942.83,318.12,1624.71,On Time,Peak,Clear,,86
J000061,2025-12-22,20:45,20,Monday,December,12,Winter,52,Central,East,Museum District,Lakeview,B02,Bus,56,1.5,5,5,11,20.4,29.8,85,0.6588,97.3,4.8,195.35,97.1,98.25,On Time,Off-Peak,Heatwave,,79
J000062,2025-09-10,06:50,6,Wednesday,September,9,Autumn,37,West,North,West End,North Park,M4,Metro,189,25.2,6,6,10,32.0,31.9,868,0.2177,54.64,2.5,1034.21,169.34,864.86,Delayed,Off-Peak,Clear,Weather Disruption,82
J000063,2025-03-05,15:20,15,Wednesday,March,3,Spring,10,North,South,Tech Campus,South Market,B03,Bus,73,5.8,6,6,10,17.1,24.8,72,1.0139,89.56,4.3,213.46,106.11,107.35,Delayed,Interpeak,Clear,,76
J000064,2025-02-11,06:55,6,Tuesday,February,2,Winter,7,West,East,West End,Lakeview,B02,Bus,44,7.9,6,6,10,15.4,26.6,75,0.5867,85.78,4.3,115.87,57.6,58.27,Delayed,Off-Peak,Heavy Rain,,81
J000065,2025-07-24,08:30,8,Thursday,July,7,Summer,30,South,North,Industrial South,North Park,M1,Metro,523,5.1,20,20,3,14.0,40.2,549,0.9526,90.82,4.2,1252.06,205.02,1047.05,Delayed,Peak,Clear,,86
J000066,2025-09-12,06:40,6,Friday,September,9,Autumn,37,North,South,North Park,South Market,M2,Metro,270,2.5,6,6,10,22.3,36.6,834,0.3237,95.5,4.4,1029.59,168.59,861.0,On Time,Off-Peak,Clear,,89
J000067,2025-10-09,09:55,9,Thursday,October,10,Autumn,41,North,Central,Riverside North,Old Town,T1,Tram,196,16.9,8,8,8,10.7,20.2,196,1.0,69.58,3.2,358.62,73.4,285.22,Delayed,Peak,Rain,Traffic,89
J000068,2025-10-31,10:50,10,Friday,October,10,Autumn,44,East,Central,Innovation Hub,Old Town,M3,Metro,475,28.8,9,9,7,31.5,35.5,798,0.5952,48.16,2.6,2558.59,418.95,2139.64,Delayed,Interpeak,Rain,Signal Failure,84
J000069,2025-12-15,09:55,9,Monday,December,12,Winter,51,North,Central,Riverside North,Old Town,S1,Shared Shuttle,10,5.1,4,4,14,9.8,37.2,11,0.9091,90.82,4.2,16.76,5.12,11.64,Delayed,Peak,Clear,,78
J000070,2025-06-25,15:20,15,Wednesday,June,6,Summer,26,North,South,Tech Campus,Stadium,T1,Tram,138,2.8,6,6,10,19.8,24.7,248,0.5565,94.96,4.4,467.24,95.63,371.61,On Time,Interpeak,Snow,,97
J000071,2025-03-16,10:20,10,Sunday,March,3,Spring,11,South,East,Greenfield,Lakeview,S1,Shared Shuttle,10,2.7,4,4,16,15.6,21.8,12,0.8333,95.14,4.7,26.68,8.15,18.53,On Time,Interpeak,Clear,,70
J000072,2025-10-09,22:10,22,Thursday,October,10,Autumn,41,East,North,Innovation Hub,Tech Campus,M4,Metro,274,0.9,15,15,4,9.4,44.6,893,0.3068,98.38,4.4,440.43,72.12,368.31,On Time,Off-Peak,Clear,,93
J000073,2025-05-29,19:00,19,Thursday,May,5,Spring,22,South,West,Industrial South,Hilltop,M1,Metro,563,8.9,6,6,10,11.2,41.8,758,0.7427,83.98,4.2,1078.26,176.56,901.7,Delayed,Peak,Heavy Rain,,88
J000074,2025-08-07,15:05,15,Thursday,August,8,Summer,32,North,West,Riverside North,Expo Centre,M1,Metro,322,5.0,10,10,6,8.2,43.0,696,0.4626,91.0,4.6,451.51,73.93,377.58,On Time,Interpeak,Snow,,93
J000075,2025-06-09,17:20,17,Monday,June,6,Summer,24,North,West,Riverside North,Airport,M2,Metro,501,0.0,7,7,9,31.7,37.8,691,0.725,100.0,5.0,2715.77,444.69,2271.08,On Time,Peak,Cloudy,,83
J000076,2025-02-01,18:50,18,Saturday,February,2,Winter,5,North,West,Tech Campus,Hilltop,B05,Bus,84,7.5,5,5,13,8.9,27.8,73,1.1507,86.5,4.0,127.84,63.55,64.29,Delayed,Peak,Clear,,85
J000077,2025-02-07,06:30,6,Friday,February,2,Winter,6,Central,West,City Hall,West End,T3,Tram,82,6.3,5,5,12,8.5,31.9,167,0.491,88.66,4.2,119.19,24.4,94.79,Delayed,Off-Peak,Clear,,87
J000078,2025-04-25,19:00,19,Friday,April,4,Spring,17,West,East,Hilltop,Harbour East,S2,Shared Shuttle,9,3.8,5,5,11,8.8,30.8,12,0.75,93.16,4.6,13.54,4.14,9.41,On Time,Peak,Clear,,70
J000079,2025-05-06,17:40,17,Tuesday,May,5,Spring,19,Central,North,Old Town,University,M2,Metro,656,8.2,8,8,8,25.6,40.9,663,0.9894,85.24,3.6,2871.71,470.22,2401.48,Delayed,Peak,Rain,,87
J000080,2025-11-26,17:50,17,Wednesday,November,11,Autumn,48,East,North,Innovation Hub,Riverside North,M4,Metro,580,6.2,10,10,6,20.9,46.8,623,0.931,88.84,4.4,2072.86,339.42,1733.45,Delayed,Peak,Clear,,83
J000081,2025-10-02,17:15,17,Thursday,October,10,Autumn,40,West,Central,West End,Museum District,B04,Bus,91,9.1,4,4,14,16.2,26.3,76,1.1974,83.62,3.8,252.09,125.31,126.78,Delayed,Peak,Rain,,82
J000082,2025-05-03,15:20,15,Saturday,May,5,Spring,18,South,West,Greenfield,Hilltop,M3,Metro,331,0.3,6,6,10,27.3,36.7,869,0.3809,99.46,4.5,1545.21,253.02,1292.19,On Time,Interpeak,Cloudy,,85
J000083,2025-07-14,16:15,16,Monday,July,7,Summer,29,South,East,Industrial South,Lakeview,M3,Metro,589,0.5,12,12,5,27.1,38.6,586,1.0051,99.1,4.7,2729.48,446.93,2282.55,On Time,Peak,Clear,,85
J000084,2025-02-04,17:00,17,Tuesday,February,2,Winter,6,South,Central,Industrial South,City Hall,B04,Bus,69,6.4,10,10,6,15.1,20.9,68,1.0147,88.48,4.1,178.16,88.56,89.6,Delayed,Peak,Clear,,80
J000085,2025-07-01,09:40,9,Tuesday,July,7,Summer,27,East,North,Harbour East,Tech Campus,B04,Bus,70,6.6,4,4,16,21.1,28.3,75,0.9333,88.12,3.9,252.57,125.55,127.02,Delayed,Peak,Rain,,84
J000086,2025-01-22,09:55,9,Wednesday,January,1,Winter,4,Central,South,Central Square,Stadium,M1,Metro,575,10.6,12,12,5,15.5,41.4,606,0.9488,80.92,3.5,1524.04,249.55,1274.49,Delayed,Peak,Snow,Traffic,87
J000087,2025-01-28,07:15,7,Tuesday,January,1,Winter,5,West,East,Expo Centre,East Gate,R2,Commuter Rail,555,8.2,2,2,27,47.0,56.4,680,0.8162,85.24,4.3,4460.54,834.72,3625.82,Delayed,Peak,Cloudy,,82
J000088,2025-07-19,10:05,10,Saturday,July,7,Summer,29,East,South,Innovation Hub,South Market,B03,Bus,52,3.7,4,4,14,8.6,28.8,69,0.7536,93.34,4.7,76.47,38.01,38.46,On Time,Interpeak,Clear,,79
J000089,2025-10-20,15:40,15,Monday,October,10,Autumn,43,South,West,Industrial South,Airport,B03,Bus,59,4.6,6,6,10,13.3,25.4,68,0.8676,91.72,4.6,134.18,66.7,67.48,On Time,Interpeak,Clear,,81
J000090,2025-08-14,10:55,10,Thursday,August,8,Summer,33,West,North,Hilltop,Tech Campus,B03,Bus,80,1.4,6,6,10,12.6,20.2,65,1.2308,97.48,4.3,172.37,85.68,86.69,On Time,Interpeak,Clear,,76
J000091,2025-08-25,21:15,21,Monday,August,8,Summer,35,Central,East,City Hall,Harbour East,M3,Metro,263,0.0,12,12,5,13.8,37.8,837,0.3142,100.0,5.0,620.63,101.62,519.0,On Time,Off-Peak,Cloudy,,90
J000092,2025-11-01,16:05,16,Saturday,November,11,Autumn,44,South,North,South Market,Riverside North,B02,Bus,68,6.7,5,5,12,11.3,19.8,80,0.85,87.94,4.6,131.4,65.31,66.08,Delayed,Peak,Heatwave,,83
J000093,2025-02-23,10:05,10,Sunday,February,2,Winter,8,North,South,Tech Campus,Greenfield,B06,Bus,50,4.9,5,5,11,8.9,29.8,70,0.7143,91.18,4.2,76.09,37.83,38.27,On Time,Interpeak,Cloudy,,78
J000094,2025-10-10,08:50,8,Friday,October,10,Autumn,41,North,East,University,Harbour East,M4,Metro,386,3.7,10,10,6,18.4,35.2,514,0.751,93.34,4.2,1214.51,198.87,1015.64,On Time,Peak,Cloudy,,92
J000095,2025-09-08,15:30,15,Monday,September,9,Autumn,37,East,Central,Innovation Hub,Old Town,T3,Tram,214,2.3,6,6,10,14.6,25.1,254,0.8425,95.86,4.5,534.27,109.35,424.92,On Time,Interpeak,Rain,,93
J000096,2025-12-22,20:10,20,Monday,December,12,Winter,52,South,North,Stadium,Tech Campus,M4,Metro,279,2.9,20,20,3,22.9,44.7,683,0.4085,94.78,4.3,1092.54,178.89,913.64,On Time,Off-Peak,Rain,,82
J000097,2025-05-21,09:20,9,Wednesday,May,5,Spring,21,West,East,West End,East Gate,B04,Bus,73,5.5,4,4,14,15.3,22.2,66,1.1061,90.1,4.2,190.99,94.94,96.05,Delayed,Peak,Clear,,83
J000098,2025-03-02,18:15,18,Sunday,March,3,Spring,9,West,South,Hilltop,Stadium,B06,Bus,82,3.4,7,7,9,19.9,27.8,81,1.0123,93.88,4.0,279.04,138.7,140.33,On Time,Peak,Cloudy,,88
J000099,2025-07-30,20:20,20,Wednesday,July,7,Summer,31,North,West,University,Expo Centre,C2,Bike Share,15,3.4,12,12,5,6.3,13.6,27,0.5556,93.88,4.5,16.16,0.0,16.16,On Time,Off-Peak,Rain,,61
J000100,2025-01-02,19:05,19,Thursday,January,1,Winter,1,South,Central,Industrial South,Museum District,R2,Commuter Rail,492,7.0,3,3,20,48.5,45.5,703,0.6999,87.4,4.5,4080.4,763.58,3316.82,Delayed,Peak,Heatwave,,82
J000101,2025-08-14,13:40,13,Thursday,August,8,Summer,33,North,South,University,Greenfield,B06,Bus,44,1.8,5,5,11,11.8,25.1,57,0.7719,96.76,4.6,88.78,44.13,44.65,On Time,Interpeak,Clear,,83
J000102,2025-01-05,05:30,5,Sunday,January,1,Winter,1,North,East,North Park,Harbour East,C4,Bike Share,6,5.0,30,30,2,6.1,13.5,18,0.3333,91.0,4.5,6.26,0.0,6.26,On Time,Off-Peak,Clear,,62
J000103,2025-03-19,20:55,20,Wednesday,March,3,Spring,12,Central,West,Museum District,West End,T1,Tram,114,1.4,5,5,11,11.4,22.5,204,0.5588,97.48,4.7,222.23,45.49,176.75,On Time,Off-Peak,Cloudy,,88
J000104,2025-07-20,10:00,10,Sunday,July,7,Summer,29,East,West,East Gate,Airport,R1,Commuter Rail,408,3.6,5,5,12,40.0,47.0,720,0.5667,93.52,4.3,2790.72,522.24,2268.48,On Time,Interpeak,Cloudy,,80
J000105,2025-01-31,21:40,21,Friday,January,1,Winter,5,East,West,East Gate,Airport,M4,Metro,340,2.0,10,10,6,15.4,35.9,761,0.4468,96.4,4.9,895.36,146.61,748.75,On Time,Off-Peak,Clear,,83
J000106,2025-08-21,16:00,16,Thursday,August,8,Summer,34,Central,West,Museum District,West End,M2,Metro,619,4.0,9,9,7,30.9,41.2,767,0.807,92.8,4.1,3270.73,535.56,2735.18,On Time,Peak,Clear,,89
J000107,2025-09-19,11:45,11,Friday,September,9,Autumn,38,South,North,Greenfield,North Park,C2,Bike Share,11,10.9,20,20,3,5.7,11.7,18,0.6111,80.38,3.4,10.72,0.0,10.72,Delayed,Interpeak,Heavy Rain,Traffic,63
J000108,2025-06-13,09:05,9,Friday,June,6,Summer,24,West,Central,Airport,Museum District,M1,Metro,786,0.6,15,15,4,31.6,37.9,705,1.1149,98.92,4.7,4247.23,695.45,3551.78,On Time,Peak,Rain,,94
J000109,2025-04-11,17:50,17,Friday,April,4,Spring,15,North,Central,Riverside North,Central Square,R1,Commuter Rail,533,5.4,3,3,22,30.8,47.8,454,1.174,90.28,4.2,2807.2,525.32,2281.88,Delayed,Peak,Clear,,88
J000110,2025-07-31,17:30,17,Thursday,July,7,Summer,31,West,Central,Airport,City Hall,M1,Metro,561,4.7,12,12,5,21.6,41.4,722,0.777,91.54,4.1,2072.11,339.29,1732.82,On Time,Peak,Clear,,84
J000111,2025-08-19,13:40,13,Tuesday,August,8,Summer,34,North,East,Tech Campus,Lakeview,B03,Bus,65,10.4,3,3,18,7.3,21.7,60,1.0833,81.28,3.3,81.14,40.33,40.81,Delayed,Interpeak,Clear,Roadworks,83
